GameSession#,AIParameters,WinRate,AveargeTime
1 ,39.297997237651714 45.51735441159519 21.599020530350032 54.77375062865224 82.92147880618847 6.899343358627803 31.956199147453702 71.91031061945085 19.775600420317872 ,0.575,4888.75
2 ,-34.391254997658095 23.771126995749597 44.97630055799672 -81.88275716042381 71.8766656010838 76.27788346014424 43.07593093543193 10.771763473707765 5.898822075465063 ,0.225,1966.85
3 ,-19.23797057426968 37.47054517452224 -44.48157597387063 -2.6946661737795807 58.67444926215549 84.6036008408505 51.370258993342475 -46.67755270942151 -40.776372930817104 ,0.35,4097.6
4 ,31.75868809872827 -98.41407876986628 -18.67708475746612 43.61298587730312 12.681326936442488 -62.18798569914872 -0.8365187700472063 86.60466313517338 74.98036697382778 ,0.65,7251.05
5 ,18.937514501681434 40.969605488687165 -33.00174286935342 -77.2271859783283 88.76402125322522 50.093784297588826 64.39995783417896 -77.81602930201213 -37.56047389609112 ,0.425,4630.725
6 ,-94.12906973050129 -24.727592372969937 8.167593273069528 18.518925627885707 9.026080409997817 -7.714851227167102 14.950824135827887 88.36261334047657 54.563335838554224 ,0.45,5181.925
7 ,-94.18223315336553 -96.14833928045199 -49.87237871414276 32.222033273384 28.23976956932549 -8.680909478937224 -38.597709272747124 -42.26383664314754 1.774783500598005 ,0.175,2112.8
8 ,-14.127890394240268 33.249456657748 -10.492809257264142 -64.89634549137895 -74.41511223613392 -57.997778605867765 80.3063352910595 -56.86134578254312 18.28103193551138 ,0.35,4585.6
9 ,31.825535737516333 66.06161162222497 -25.330638581968955 2.81326024807494 49.7515173124755 -68.10173265309258 -65.12396199193958 -1.4559350484475004 74.22488047856689 ,0.575,7546.85
10 ,-84.19876817807832 -97.36780297390641 -28.74168579777188 -16.693676036909793 -97.32297302966117 -27.558410674603252 -61.876098689008515 9.055027491594785 31.149415413449134 ,0.35,6031.3
11 ,-34.391254997658095 23.771126995749597 44.97630055799672 -81.88275716042381 71.8766656010838 76.27788346014424 43.07593093543193 10.771763473707765 5.898822075465063 ,0.225,2202.4
12 ,39.297997237651714 45.51735441159519 8.167593273069528 18.518925627885707 9.026080409997817 -9.0 -0.8365187700472063 86.60466313517338 74.98036697382778 ,0.625,5719.0
13 ,-19.23797057426968 37.47054517452224 -44.48157597387063 -2.6946661737795807 58.67444926215549 84.6036008408505 51.370258993342475 -46.67755270942151 -40.776372930817104 ,0.425,4497.7
14 ,31.75868809872827 -98.41407876986628 21.599020530350032 54.77375062865224 82.92147880618847 50.093784297588826 64.39995783417896 -77.81602930201213 -37.56047389609112 ,0.625,6100.725
15 ,-94.12906973050129 -24.727592372969937 -49.87237871414276 32.222033273384 28.23976956932549 6.899343358627803 31.956199147453702 71.91031061945085 19.775600420317872 ,0.225,2304.35
